purchase_id,customer_id,product_id,purchase_date,quantity,total_amount,first_name,last_name,gender,date_of_birth,email,phone_number,signup_date,address,city,state,zip_code,product_name,category,price_per_unit,brand,product_description
1,1,42,2018-04-15 14:08:01,3,37.64207365077783,Robert,Smith,Female,1994-06-14 21:40:27,jane.davis1@mail.com,634-106-4981,2016-10-16 17:23:25,8465 Main St,San Antonio,CA,35566,Milk,Fruits,21.63,BrandD,Description for Bread
2,1,138,2022-07-10 23:33:47,4,70.24710587172727,Robert,Smith,Female,1994-06-14 21:40:27,jane.davis1@mail.com,634-106-4981,2016-10-16 17:23:25,8465 Main St,San Antonio,CA,35566,Bread,Grains,25.98,BrandE,Description for Bread
3,1,403,2021-12-31 03:53:33,3,89.16889585975464,Robert,Smith,Female,1994-06-14 21:40:27,jane.davis1@mail.com,634-106-4981,2016-10-16 17:23:25,8465 Main St,San Antonio,CA,35566,Bread,Meats,24.01,BrandD,Description for Banana
4,1,193,2017-01-14 01:25:11,2,59.70505931112876,Robert,Smith,Female,1994-06-14 21:40:27,jane.davis1@mail.com,634-106-4981,2016-10-16 17:23:25,8465 Main St,San Antonio,CA,35566,Bread,Grains,29.67,BrandC,Description for Rice
5,1,26,2018-04-06 11:01:06,3,101.77886387225126,Robert,Smith,Female,1994-06-14 21:40:27,jane.davis1@mail.com,634-106-4981,2016-10-16 17:23:25,8465 Main St,San Antonio,CA,35566,Bread,Meats,20.58,BrandE,Description for Banana
6,1,357,2020-02-04 10:28:26,5,167.38440154387484,Robert,Smith,Female,1994-06-14 21:40:27,jane.davis1@mail.com,634-106-4981,2016-10-16 17:23:25,8465 Main St,San Antonio,CA,35566,Pasta,Grains,5.56,BrandB,Description for Milk
7,1,192,2023-09-21 08:52:12,5,201.98834253689253,Robert,Smith,Female,1994-06-14 21:40:27,jane.davis1@mail.com,634-106-4981,2016-10-16 17:23:25,8465 Main St,San Antonio,CA,35566,Butter,Meats,26.46,BrandE,Description for Pasta
8,2,225,2021-07-31 11:17:50,5,82.87969346438778,Emily,Garcia,Female,1989-09-21 17:56:31,robert.williams2@mail.com,386-635-5998,2021-04-04 14:24:06,305 Main St,New York,AZ,23187,Cheese,Meats,3.21,BrandB,Description for Eggs
9,2,218,2023-11-03 08:21:19,5,230.93891243311947,Emily,Garcia,Female,1989-09-21 17:56:31,robert.williams2@mail.com,386-635-5998,2021-04-04 14:24:06,305 Main St,New York,AZ,23187,Eggs,Dairy,12.6,BrandB,Description for Chicken
10,2,176,2022-12-30 01:32:06,2,41.32577291026815,Emily,Garcia,Female,1989-09-21 17:56:31,robert.williams2@mail.com,386-635-5998,2021-04-04 14:24:06,305 Main St,New York,AZ,23187,Chicken,Grains,17.15,BrandA,Description for Banana
